"home";"away";"home_win_probability";"draw_probability";"away_win_probability";"team_to_win_prediction";"average_goals_prediction";"weather_in_degrees";"odds";"full_time_score";"score_at_halftime";"date";"time";"home_team_score_prediction";"away_team_score_prediction";"home_team_full_time_score";"away_team_full_time_score";"home_team_halftime_score";"away_team_halftime_score";"prediction_result";"day_of_week";"month";"weekly_round"
"1";"8";53.0;20.0;27.0;0;3.16;"22°";1.18;"FT 2 - 1";"(1 - 1)";"2024-05-19 00:00:00";"15:00";3;1;2;1;1;1;"1";6;5;38
"23";"15";27.0;25.0;49.0;1;3.13;"22°";2.2;"FT 2 - 4";"(0 - 3)";"2024-05-19 00:00:00";"15:00";1;3;2;4;0;3;"1";6;5;38
"4";"14";34.0;34.0;32.0;0;2.88;"17°";4.0;"FT 0 - 2";"(0 - 0)";"2024-05-19 00:00:00";"15:00";2;1;0;2;0;0;"1";6;5;38
"5";"25";38.0;33.0;28.0;0;2.98;"19°";2.9;"FT 1 - 2";"(0 - 2)";"2024-05-19 00:00:00";"15:00";2;1;1;2;0;2;"1";6;5;38
"6";"3";49.0;27.0;24.0;0;2.78;"22°";1.45;"FT 2 - 1";"(1 - 0)";"2024-05-19 00:00:00";"15:00";2;1;2;1;1;0;"1";6;5;38
"7";"2";28.0;31.0;41.0;1;2.91;"22°";3.8;"FT 5 - 0";"(2 - 0)";"2024-05-19 00:00:00";"15:00";1;2;5;0;2;0;"1";6;5;38
"12";"22";63.0;23.0;14.0;0;4.15;"21°";1.18;"FT 2 - 0";"(2 - 0)";"2024-05-19 00:00:00";"15:00";3;0;2;0;2;0;"1";6;5;38
"21";"9";25.0;39.0;36.0;2;3.43;"20°";3.9;"FT 2 - 4";"(1 - 2)";"2024-05-19 00:00:00";"15:00";2;2;2;4;1;2;"1";6;5;38
"13";"20";59.0;26.0;16.0;0;4.34;"22°";1.1;"FT 3 - 1";"(2 - 1)";"2024-05-19 00:00:00";"15:00";3;1;3;1;2;1;"1";6;5;38
"24";"19";33.0;17.0;50.0;1;3.53;"21°";1.36;"FT 0 - 3";"(0 - 1)";"2024-05-19 00:00:00";"15:00";1;3;0;3;0;1;"1";6;5;38
"9";"13";15.0;19.0;65.0;1;3.19;"21°";1.25;"FT 0 - 4";"(0 - 1)";"2024-05-11 00:00:00";"11:30";1;3;0;4;0;1;"1";5;5;38
"3";"23";34.0;37.0;29.0;2;2.3;"17°";3.8;"FT 1 - 2";"(0 - 0)";"2024-05-11 00:00:00";"14:00";1;1;1;2;0;0;"1";5;5;38
"8";"24";55.0;30.0;15.0;0;2.65;"20°";1.44;"FT 1 - 0";"(1 - 0)";"2024-05-11 00:00:00";"14:00";3;0;1;0;1;0;"1";5;5;38
"15";"4";44.0;32.0;23.0;0;2.82;"21°";1.5;"FT 1 - 1";"(1 - 1)";"2024-05-11 00:00:00";"14:00";2;1;1;1;1;1;"1";5;5;38
"19";"5";61.0;23.0;16.0;0;3.5;"21°";1.33;"FT 2 - 1";"(1 - 1)";"2024-05-11 00:00:00";"14:00";3;1;2;1;1;1;"1";5;5;38
"20";"21";62.0;25.0;13.0;0;3.38;"21°";1.75;"FT 3 - 1";"(0 - 1)";"2024-05-11 00:00:00";"14:00";2;1;3;1;0;1;"1";5;5;38
"22";"7";30.0;33.0;37.0;1;2.25;"21°";2.45;"FT 1 - 3";"(0 - 2)";"2024-05-11 00:00:00";"14:00";0;2;1;3;0;2;"1";5;5;38
"25";"6";21.0;31.0;48.0;1;3.3;"21°";1.95;"FT 2 - 3";"(1 - 1)";"2024-05-11 00:00:00";"16:30";1;3;2;3;1;1;"1";5;5;38
"14";"1";25.0;23.0;52.0;1;3.27;"23°";1.4;"FT 0 - 1";"(0 - 1)";"2024-05-12 00:00:00";"15:30";1;3;0;1;0;1;"1";6;5;38
"2";"12";28.0;37.0;35.0;2;3.24;"15°";4.2;"FT 3 - 3";"(1 - 2)";"2024-05-13 00:00:00";"19:00";2;2;3;3;1;2;"1";0;5;38
"19";"13";27.0;23.0;50.0;1;2.95;"15°";1.33;"FT 0 - 2";"(0 - 0)";"2024-05-14 00:00:00";"19:00";1;2;0;2;0;0;"1";1;5;38
"4";"6";27.0;37.0;36.0;2;2.3;"16°";4.0;"FT 1 - 2";"(0 - 1)";"2024-05-15 00:00:00";"18:45";1;1;1;2;0;1;"1";2;5;38
"14";"15";37.0;32.0;31.0;0;2.92;"16°";2.63;"FT 3 - 2";"(1 - 0)";"2024-05-15 00:00:00";"19:00";2;1;3;2;1;0;"1";2;5;38
