"home";"away";"home_win_probability";"draw_probability";"away_win_probability";"team_to_win_prediction";"scoreline_prediction";"average_goals_prediction";"weather_in_degrees";"odds";"date";"time";"home_team_score_prediction";"away_team_score_prediction";"day_of_week";"month";"weekly_round"
1;8;53.0;20.0;27.0;0;"3 - 1";3.16;"19°";1.18;"2024-05-19 00:00:00";"15:00:00";3;1;6;5;38
23;15;27.0;25.0;49.0;1;"1 - 3";3.13;"19°";2.2;"2024-05-19 00:00:00";"15:00:00";1;3;6;5;38
4;14;34.0;34.0;32.0;0;"2 - 1";2.88;"16°";4.0;"2024-05-19 00:00:00";"15:00:00";2;1;6;5;38
5;25;38.0;33.0;28.0;0;"2 - 1";2.98;"18°";2.9;"2024-05-19 00:00:00";"15:00:00";2;1;6;5;38
6;3;49.0;27.0;24.0;0;"2 - 1";2.78;"19°";1.45;"2024-05-19 00:00:00";"15:00:00";2;1;6;5;38
7;2;28.0;31.0;41.0;1;"1 - 2";2.91;"19°";3.8;"2024-05-19 00:00:00";"15:00:00";1;2;6;5;38
12;22;63.0;23.0;14.0;0;"3 - 0";4.15;"19°";1.18;"2024-05-19 00:00:00";"15:00:00";3;0;6;5;38
21;9;25.0;39.0;36.0;2;"2 - 2";3.43;"17°";3.9;"2024-05-19 00:00:00";"15:00:00";2;2;6;5;38
13;20;59.0;26.0;16.0;0;"3 - 1";4.34;"20°";1.1;"2024-05-19 00:00:00";"15:00:00";3;1;6;5;38
24;19;33.0;17.0;50.0;1;"1 - 3";3.53;"18°";1.36;"2024-05-19 00:00:00";"15:00:00";1;3;6;5;38
